ENERGY_BIN_INDEX,current_FHT,energy_FHT,error_FHT,current_PAN,energy_PAN,error_PAN,current_SPA,energy_SPA,error_SPA,current_nPKT,energy_nPKT,error_nPKT,current_PKT,energy_PKT,error_PKT
0,3.889815048116251e-05,1e-09,0.1134,6.553316918426584e-05,1e-09,0.0875,1.871155693787998e-05,1e-09,0.1644,1.0108452736761862e-05,1e-09,0.2077,4.409161852909753e-06,1e-09,0.3109
1,1.139813776872602e-05,1.0779e-09,0.2051,1.0477535887366859e-05,1.0779e-09,0.2188,6.942788022111463e-06,1.0779e-09,0.2771,1.1379561811476075e-06,1.0779e-09,0.7082,5.094324276101014e-07,1.0779e-09,1
2,8.457472536269715e-06,1.1619e-09,0.2343,1.0722419323800719e-05,1.1619e-09,0.2067,5.427155510134899e-06,1.1619e-09,0.3252,1.1952428493100813e-06,1.1619e-09,0.5829,1.4846965831714233e-06,1.1619e-09,0.5056
3,1.5774683696696915e-05,1.2524e-09,0.1701,1.3864888091833453e-05,1.2524e-09,0.1877,5.806738636575624e-06,1.2524e-09,0.284,5.999986191842486e-07,1.2524e-09,1,1.76988792684208e-06,1.2524e-09,0.519
4,1.6459282121186146e-05,1.35e-09,0.1732,2.2228748843538043e-05,1.35e-09,0.1467,4.587973441399042e-06,1.35e-09,0.309,3.509703922890646e-06,1.35e-09,0.363,9.348578485509776e-07,1.35e-09,0.7349
5,1.2401251460195398e-05,1.4551e-09,0.2056,2.3257026477096006e-05,1.4551e-09,0.1507,7.342015103344279e-06,1.4551e-09,0.2571,4.915704687169863e-06,1.4551e-09,0.312,1.9503915114374694e-06,1.4551e-09,0.4584
6,1.3054529956763207e-05,1.5685e-09,0.1889,2.252058817190926e-05,1.5685e-09,0.1444,8.635156127354937e-06,1.5685e-09,0.2441,2.9845011315739054e-06,1.5685e-09,0.4182,1.6940241014324237e-06,1.5685e-09,0.5153
7,1.7932638730454982e-05,1.6907e-09,0.1741,2.735177705358083e-05,1.6907e-09,0.1348,1.2096692161097471e-05,1.6907e-09,0.2083,3.0683089387015613e-06,1.6907e-09,0.4144,2.7643856381399717e-06,1.6907e-09,0.3838
8,2.790557577908789e-05,1.8224e-09,0.136,3.790347277027886e-05,1.8224e-09,0.1157,1.29587701771414e-05,1.8224e-09,0.1934,7.073863720458454e-06,1.8224e-09,0.2557,2.999321097467756e-06,1.8224e-09,0.4222
9,3.0133370652119007e-05,1.9644e-09,0.1275,4.737481097327374e-05,1.9644e-09,0.1018,1.0534547756161747e-05,1.9644e-09,0.2192,3.778323304699434e-06,1.9644e-09,0.3633,2.436510392700548e-06,1.9644e-09,0.4214
