PIXEL_INDEX,H,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Sm,Gd,O,MIN_LAT (deg),MAX_LAT(deg),MAX_LON deg,MIN_LON deg
0,0.000133578,0.042602006,0.096077635,0.1937155126345648,0.1455347254328556,0.000933536,0.035771478,0.000403928,7.370389398864333e-07,2.0028363608792017e-07,0,0,0.4848266641247806,-90,-87.5,180,-180
1,7.949094914865137e-05,0.053115819,0.092711368,0.2188301150408526,0.1496945980583851,0.00108249,0.047067159,0.000489876,9.64743654076569e-07,2.623641296680305e-07,0,0,0.4369278570176801,-87.5,-82.5,-135,-180
2,8.85778029916924e-05,0.040484952,0.091935039,0.2029489355597704,0.1587176998655259,0.001179386,0.042571629,0.000535791,9.446203475998146e-07,2.569117506650082e-07,0,0,0.4615367887869016,-87.5,-82.5,-90,-135
3,0.000127087,0.043867702,0.096368297,0.2051548314303327,0.1503545894229066,0.001205296,0.039422044,0.000409054,7.666725078819465e-07,2.0831811531649e-07,0,0,0.4630901242825639,-87.5,-82.5,-45,-90
4,0.000122489,0.042992463,0.096324314,0.2060356282310164,0.1690520368214025,0,0.037663959,0.000445547,7.600661127435896e-07,2.065025904969595e-07,0,0,0.4473625972101395,-87.5,-82.5,0,-45
5,0.000113946,0.040743014,0.099947055,0.2082014101628117,0.1599497709065077,0.000461835,0.03749894,0.000390144,6.93919074603986e-07,1.884439361968887e-07,0,0,0.4526930010499991,-87.5,-82.5,45,0
6,0.000115041,0.040057951,0.093796532,0.1972509435959126,0.1469290875347595,0.001146567,0.032375702,0.000350227,5.978868510672523e-07,1.6228785505066282e-07,0,0,0.48797719,-87.5,-82.5,90,45
7,9.868678547220512e-05,0.039374478,0.085999897,0.1871847724072113,0.152628629,0.000296594,0.036114782,0.000378724,7.326853593249024e-07,1.991332924054053e-07,0,0,0.497922506,-87.5,-82.5,135,90
8,0.000101748,0.049438593,0.093689295,0.1938643026131326,0.1437848345443375,0.001115163,0.038671813,0.000377384,7.861263324208468e-07,2.136817943202359e-07,0,0,0.4789558674888037,-87.5,-82.5,180,135
9,3.527495731503828e-05,0.041747458,0.074995883,0.2024805964462455,0.1477752744742005,0.003540656,0.060760938,0.000564172,1.1848682692768824e-06,3.225181699375278e-07,0,0,0.4680982403948405,-82.5,-77.5,-156,-180
10,5.419235457080414e-05,0.059487599,0.087578144,0.2141361,0.173487847,0,0.05908333,0.000549271,1.2392286222148986e-06,3.372623717558674e-07,0,0,0.405621941,-82.5,-77.5,-132,-156
11,6.449069122087068e-05,0.053662747,0.094623168,0.2103806639525691,0.1534469315156535,2.321510829503308e-05,0.046093501,0.00048892,1.0079530699214817e-06,2.741568909594589e-07,0,0,0.441215081,-82.5,-77.5,-108,-132
