,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,PIXEL_INDEX,MIN_LAT (deg),MAX_LAT(deg),MIN_LON deg,MAX_LON deg,AM g/mol,NEUTRON_DEN g/cm3,W_MGOg/g,W_AL2O3g/g,W_SIO2g/g,W_CAOg/g,W_TIO2g/g,W_FEO g/g,W_K ppm,W_THppm,W_U ppm,E[00],E[01],E[02],E[03],E[04],E[05],E[06],E[07],E[08],E[11],E[12],E[13],E[14],E[15],E[16],E[17],E[18],E[22],E[23],E[24],E[25],E[26],E[27],E[28],E[33],E[34],E[35],E[36],E[37],E[38],E[44],E[45],E[46],E[47],E[48],E[55],E[56],E[57],E[58],E[66],E[67],E[68],E[77],E[78],E[88],H,Sm,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Gd,O,sigma_a_calc,thermal_flux,thermal_flux_no_correction,thermal_flux_no_gravity,thermal_flux_gravity
0,0,0,0,0,0,0,0.0,-90.0,-87.5,-180.0,180.0,21.609,1.5344e-06,0.076213,0.2867,0.44507,0.15633,0.0016727,0.049428,433.89,0.79171,0.21514,6.6536e-06,0.0,0.0,-1.8852e-06,0.0,0.0,-0.02231,1.1900000000000001e-07,-2.6756e-06,1.6166e-05,0.0,-5.0823e-06,0.0,-1.4726e-06,0.0040943,-1.3823e-05,3.9954e-06,1.2188e-05,-4.850100000000001e-07,-3.616400000000001e-07,1.2217e-07,0.015153,1.48e-05,-2.1926e-05,5.7108e-06,0.0,0.0,0.0024006,-4.858e-06,6.6773e-06,1.3902e-07,2.5797e-08,-0.0003277,1.9772000000000005e-07,1.5387e-06,5.145300000000001e-07,0.00029189,6.9154e-07,1.985e-06,246.4,0.0,0.0,0.00033237,-4.8165e-05,0.00018968,0.0001335782264893,0.0,0.0426020057595496,0.0960776349876492,0.1937155126345648,0.1455347254328556,0.0009335355627288,0.035771477963019,0.0004039279857868,7.370389398864333e-07,2.0028363608792017e-07,0.0,0.4848266641247806,33.12449856151162,0.30502291323097513,0.20869679221718151,0.20869679221718151,0.30502291323097513
1,1,1,1,1,1,1,1.0,-87.5,-82.5,-180.0,-135.0,21.851,1.4376e-06,0.08711,0.25362,0.46091,0.14741,0.0017781,0.059621,482.4,0.95002,0.25836,2.7966e-05,0.0,0.0,-8.1191e-06,0.0,0.0,-0.094065,1.1459e-06,-1.1759e-05,6.8545e-05,0.0,-2.2101e-05,0.0,-6.4571e-06,0.016686,-5.7309e-05,1.8936e-05,5.1393e-05,-1.925e-06,-1.6481e-06,3.905900000000001e-07,0.064625,6.2743e-05,-9.5475e-05,2.4734e-05,0.0,0.0,0.010322,-2.1711e-05,2.7948e-05,6.798200000000001e-07,1.424e-07,-0.001491,7.6389e-07,7.1887e-06,2.4523e-06,0.001455,2.6049e-06,8.8858e-06,1045.8,0.0,0.0,0.0014174,-0.00021187,0.0008139,7.949094914865137e-05,0.0,0.0531158190285984,0.0927113678552709,0.2188301150408524,0.1496945980583851,0.0010824899457105,0.0470671586374128,0.0004898763591571,9.64743654076569e-07,2.623641296680305e-07,0.0,0.4369278570176802,37.42547132212527,0.25582108606233245,0.20672825928871635,0.20672825928871635,0.25582108606233245
2,2,2,2,2,2,2,2.0,-87.5,-82.5,-135.0,-90.0,21.819,1.4703e-06,0.069303,0.26251,0.44618,0.16314,0.0020221,0.056288,550.72,0.97094,0.26407,2.3834e-05,0.0,0.0,-6.8664e-06,0.0,0.0,-0.0803979999999999,7.765500000000001e-07,-9.8161e-06,5.8278e-05,0.0,-1.8629e-05,0.0,-5.4298e-06,0.014431,-4.9041e-05,1.5589e-05,4.3724e-05,-1.6352e-06,-1.3656e-06,3.7539000000000003e-07,0.054941,5.3347e-05,-8.032299999999998e-05,2.0869e-05,0.0,0.0,0.0088173,-1.8162e-05,2.3745e-05,5.5023e-07,1.112e-07,-0.0012388,6.7026e-07,5.9127e-06,2.0053e-06,0.0011919,2.3084e-06,7.4092e-06,893.09,0.0,0.0,0.0012028,-0.00017813,0.00069054,8.85778029916924e-05,0.0,0.0404849516018847,0.0919350387003983,0.2029489355597704,0.1587176998655259,0.0011793861932025,0.0425716285408358,0.0005357914163904,9.446203475998146e-07,2.569117506650082e-07,0.0,0.4615367887869016,36.08515224953301,0.2661555105190513,0.20453602850746533,0.20453602850746533,0.2661555105190513
3,3,3,3,3,3,3,3.0,-87.5,-82.5,-90.0,-45.0,21.695,1.4976e-06,0.074188,0.27185,0.44559,0.15268,0.0020416,0.051495,415.38,0.77853,0.21154,2.3408e-05,0.0,0.0,-6.6951e-06,0.0,0.0,-0.078488,5.8513e-07,-9.5955e-06,5.7202e-05,0.0,-1.8147e-05,0.0,-5.2695e-06,0.014205,-4.8289e-05,1.4852e-05,4.2966e-05,-1.6274e-06,-1.3126e-06,4.1028000000000004e-07,0.053485,5.2175e-05,-7.809799999999998e-05,2.0328e-05,0.0,0.0,0.0085255,-1.7504e-05,2.3373e-05,5.1701e-07,9.990500000000001e-08,-0.0011844,6.746700000000001e-07,5.63e-06,1.8918e-06,0.0011084,2.3462e-06,7.1055e-06,867.76,0.0,0.0,0.001172,-0.00017186,0.00067296,0.0001270868709461,0.0,0.0438677023014169,0.0963682967696717,0.2051548314303328,0.1503545894229068,0.0012052959626363,0.0394220444625198,0.0004090535063824,7.666725078819468e-07,2.083181153164901e-07,0.0,0.4630901242825636,35.08367381374916,0.2829367346193311,0.2158178347199195,0.2158178347199195,0.2829367346193311
4,4,4,4,4,4,4,4.0,-87.5,-82.5,-45.0,0.0,21.638,1.5046e-06,0.072345,0.27037,0.44527,0.17081,0.0,0.048953,450.18,0.76797,0.20865,2.7686e-05,0.0,0.0,-7.8992e-06,0.0,0.0,-0.092698,6.2687e-07,-1.1256e-05,6.7572e-05,0.0,-2.1414e-05,0.0,-6.2006e-06,0.016848,-5.6957e-05,1.7361e-05,5.0719e-05,-1.9069e-06,-1.5335e-06,5.0048e-07,0.063019,6.1504e-05,-9.1637e-05,2.3984e-05,0.0,0.0,0.010044,-2.0633e-05,2.7451e-05,5.9866e-07,1.1457000000000001e-07,-0.0013766,8.053100000000001e-07,6.558e-06,2.2046e-06,0.0012935,2.7933e-06,8.3154e-06,1022.8,0.0,0.0,0.0013792,-0.00020149,0.00079144,0.000122488710827,0.0,0.0429924626382406,0.0963243138844089,0.2060356282310164,0.1690520368214025,0.0,0.0376639591526597,0.000445546782602,7.600661127435896e-07,2.065025904969595e-07,0.0,0.4473625972101394,34.92638954932522,0.279611982430799,0.21377939111503258,0.21377939111503258,0.279611982430799
5,5,5,5,5,5,5,5.0,-87.5,-82.5,0.0,45.0,21.568,1.5246e-06,0.06813,0.27878,0.44713,0.1606,0.0007735,0.048433,391.73,0.69674,0.18921,2.7863e-05,0.0,0.0,-7.931999999999998e-06,0.0,0.0,-0.093037,5.133e-07,-1.1353e-05,6.7874e-05,0.0,-2.138e-05,0.0,-6.1942e-06,0.017008,-5.7508e-05,1.6895e-05,5.1029e-05,-1.9666e-06,-1.5242e-06,5.2554e-07,0.063091,6.1749e-05,-9.1649e-05,2.3969e-05,0.0,0.0,0.010046,-2.0382e-05,2.7847e-05,5.863300000000001e-07,1.0938e-07,-0.0013633,8.0947e-07,6.4806e-06,2.1688e-06,0.0012618,2.8718e-06,8.2933e-06,1023.1,0.0,0.0,0.0013803,-0.00020061,0.00079294,0.0001139464583864,0.0,0.0407430143492083,0.0999470553350944,0.2082014101628117,0.1599497709065077,0.0004618350678539,0.0374989403235831,0.0003901439835442,6.939190746039861e-07,1.884439361968887e-07,0.0,0.4526930010499991,34.828647906562594,0.2795247171916291,0.21588871864512815,0.21588871864512815,0.2795247171916291
6,6,6,6,6,6,6,6.0,-87.5,-82.5,45.0,90.0,21.691,1.5592e-06,0.071236,0.27823,0.4505,0.15689,0.0020422,0.04447,373.97,0.63842,0.17329,2.4238e-05,0.0,0.0,-6.8553e-06,0.0,0.0,-0.081364,2.466300000000001e-07,-9.9471e-06,5.9021e-05,0.0,-1.8527e-05,0.0,-5.3444e-06,0.015006,-5.051e-05,1.43e-05,4.4488e-05,-1.7596e-06,-1.3067e-06,4.7973e-07,0.055087,5.4038e-05,-7.9805e-05,2.0819e-05,0.0,0.0,0.0087504,-1.7721e-05,2.4529e-05,4.949e-07,8.878499999999998e-08,-0.0011786,7.371500000000001e-07,5.5539e-06,1.8313e-06,0.0010631,2.5801e-06,7.1816e-06,899.76,0.0,0.0,0.0012152,-0.00017498,0.00069747,0.0001150406525121,0.0,0.0400579509348862,0.0937965322596562,0.1972509435959126,0.1469290875347595,0.0011465666289339,0.0323757017904528,0.0003502267248733,5.978868510672523e-07,1.6228785505066282e-07,0.0,0.487977189703307,32.3529081115095,0.30745048196425484,0.21933147483581794,0.21933147483581794,0.30745048196425484
7,7,7,7,7,7,7,7.0,-87.5,-82.5,90.0,135.0,21.662,1.5494e-06,0.073352,0.26724,0.44785,0.17073,0.00055341,0.051966,423.64,0.8195799999999999,0.22275,2.3354e-05,0.0,0.0,-6.6256e-06,0.0,0.0,-0.0783559999999999,3.3327e-07,-9.5714e-06,5.679e-05,0.0,-1.7858e-05,0.0,-5.1568e-06,0.014428,-4.8647e-05,1.3838e-05,4.2809e-05,-1.6921e-06,-1.2627e-06,4.4164000000000003e-07,0.05305,5.2169e-05,-7.6914e-05,2.0077e-05,0.0,0.0,0.0084355999999999,-1.7181e-05,2.3595e-05,4.7981e-07,8.7031e-08,-0.0011361,7.01e-07,5.3727e-06,1.7906e-06,0.001036,2.4482e-06,6.9716e-06,866.07,0.0,0.0,0.0011751,-0.0001699,0.00067064,9.868678547220512e-05,0.0,0.039374477868411,0.0859998973390628,0.1871847724072113,0.15262862856285,0.0002965935287253,0.0361147816737203,0.0003787242558681,7.326853593249024e-07,1.991332924054053e-07,0.0,0.497922505760027,32.31684490742415,0.3041933567000874,0.2090308088521021,0.2090308088521021,0.3041933567000874
8,8,8,8,8,8,8,8.0,-87.5,-82.5,135.0,180.0,21.685,1.502e-06,0.0883,0.27912,0.44469,0.1542,0.0019949,0.053349,404.72,0.84307,0.22916,2.6963e-05,0.0,0.0,-7.696199999999998e-06,0.0,0.0,-0.090353,6.386300000000001e-07,-1.0939e-05,6.5761e-05,0.0,-2.0854e-05,0.0,-6.0597e-06,0.016407,-5.5575e-05,1.6923e-05,4.9406e-05,-1.8823e-06,-1.5043e-06,4.6723000000000004e-07,0.061522,5.9996e-05,-8.982e-05,2.3365e-05,0.0,0.0,0.0097893,-2.0074e-05,2.6894e-05,5.918100000000001e-07,1.1354000000000001e-07,-0.0013598,7.7967e-07,6.4522e-06,2.1764e-06,0.0012675,2.7095e-06,8.195299999999998e-06,997.34,0.0,0.0,0.0013464,-0.00019719,0.0007737,0.0001017475519925,0.0,0.0494385925378859,0.093689295416664,0.1938643026131327,0.1437848345443375,0.0011151629848381,0.0386718131486624,0.0003773839055563,7.861263324208469e-07,2.136817943202359e-07,0.0,0.4789558674888036,33.864390469976065,0.2916192336377332,0.2110843283227129,0.2110843283227129,0.2916192336377332
9,9,9,9,9,9,9,9.0,-82.5,-77.5,-180.0,-156.0,22.045,1.3148e-06,0.072498,0.21724,0.45159,0.15409,0.0061584,0.0815,588.28,1.2355,0.3363,5.2664e-05,0.0,0.0,-1.5616e-05,0.0,0.0,-0.17724,3.8513e-06,-2.2894e-05,0.00013037,0.0,-4.307e-05,0.0,-1.2893e-05,0.030413,-0.00010541,4.0334e-05,9.6668e-05,-3.1014e-06,-3.4303e-06,4.249000000000001e-07,0.12301,0.00011869,-0.00018486,4.782e-05,0.0,0.0,0.019939,-4.3601e-05,5.0694e-05,1.571e-06,3.690100000000001e-07,-0.0031144,1.1996e-06,1.5339e-05,5.4845e-06,0.003301,4.0168e-06,1.7994e-05,1980.4,0.0,0.0,0.0026922,-0.00041661,0.0015527,3.527495731503828e-05,0.0,0.0417474575593309,0.0749958828121681,0.2024805964462455,0.1477752744742005,0.0035406558880181,0.0607609382437648,0.0005641718376771,1.1848682692768824e-06,3.225181699375278e-07,0.0,0.4680982403948405,41.2116619509434,0.22615349493828546,0.18180055904295872,0.18180055904295872,0.22615349493828546
