,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,PIXEL_INDEX,MIN_LAT (deg),MAX_LAT(deg),MIN_LON deg,MAX_LON deg,AM g/mol,NEUTRON_DEN g/cm3,W_MGOg/g,W_AL2O3g/g,W_SIO2g/g,W_CAOg/g,W_TIO2g/g,W_FEO g/g,W_K ppm,W_THppm,W_U ppm,E[00],E[01],E[02],E[03],E[04],E[05],E[06],E[07],E[08],E[11],E[12],E[13],E[14],E[15],E[16],E[17],E[18],E[22],E[23],E[24],E[25],E[26],E[27],E[28],E[33],E[34],E[35],E[36],E[37],E[38],E[44],E[45],E[46],E[47],E[48],E[55],E[56],E[57],E[58],E[66],E[67],E[68],E[77],E[78],E[88],H,Sm,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Gd,O,sigma_a_calc,thermal_flux,thermal_flux_no_correction,thermal_flux_const_temp,thermal_flux_temp_varying
0,0,0,0,0,0,0,0,0,0,0,0.0,-90.0,-80.0,-180.0,180.0,21.69,1.511e-06,0.076125,0.27394,0.449,0.16137,0.0012562,0.051815,427.18,0.79407,0.21578,1.6085e-06,0.0,0.0,-4.5941e-07,0.0,0.0,-0.0053954,3.5714e-08,-6.5936e-07,3.9236e-06,0.0,-1.2427e-06,0.0,-3.6038e-07,0.00098139,-3.3256e-06,9.9785e-07,2.9494e-06,-1.1325e-07,-8.9277e-08,2.8653e-08,0.0036694,3.5858e-06,-5.3448e-06,1.3935e-06,0.0,0.0,0.00058501,-1.1972e-06,1.6118e-06,3.4855e-08,6.6466e-09,-8.045899999999998e-05,4.6853e-08,3.8242e-07,1.283e-07,7.5009e-05,1.633e-07,4.8687e-07,59.638,0.0,0.0,8.0592e-05,-1.1773e-05,4.6219e-05,0.0001052355367207,0.0,0.0437687342479931,0.0944247306857711,0.2010102074799195,0.1545193221318773,0.0007211195858813,0.03857047976328,0.0004090448288299,7.603591629501137e-07,2.066194418393536e-07,0.0,0.4664701587611218,34.46042866855614,0.2830826079636236,0.2115480086490709,0.2830826079636236,0.2841619757196043
1,1,1,1,1,1,1,1,1,1,1,1.0,-80.0,-60.0,-180.0,-135.0,21.917,1.219e-06,0.0883629999999999,0.22232,0.45014,0.15223,0.0045528,0.0821599999999999,805.5,1.8242,0.49702,6.8781e-06,0.0,0.0,-2.051e-06,0.0,0.0,-0.022954,6.7586e-07,-2.8447e-06,1.6886e-05,0.0,-5.6308e-06,0.0,-1.7231e-06,0.0038646,-1.3265e-05,5.5956e-06,1.2446e-05,-3.2279e-07,-4.7426e-07,4.0627e-08,0.0159,1.5302e-05,-2.4016e-05,6.213e-06,0.0,0.0,0.0026409,-5.8804e-06,6.1898e-06,2.3246e-07,5.8356e-08,-0.00042271,1.1504e-07,2.1335e-06,7.856699999999999e-07,0.00049901,4.2946e-07,2.3669e-06,253.75,0.0,0.0,0.00034785,-5.5362e-05,0.0001996,5.751772160786117e-05,3.3491751730836107e-06,0.0486133223059434,0.0733258330560977,0.192826867433063,0.1394788670844879,0.0025007785948583,0.0585205147509973,0.000738029478004,1.6714008364679949e-06,4.553884682278932e-07,4.353927725008694e-06,0.4839284396827373,44.19309713013872,0.21668031353953238,0.17130960806871653,0.21668031353953238,0.21417082339478516
2,2,2,2,2,2,2,2,2,2,2,2.0,-80.0,-60.0,-135.0,-90.0,21.877,1.4485e-06,0.073996,0.25775,0.44824,0.1555,0.0013515,0.055366,443.76,1.0176,0.2768,6.2426e-06,0.0,0.0,-1.8194e-06,0.0,0.0,-0.020901,2.1803e-07,-2.6696e-06,1.531e-05,0.0,-4.9314e-06,0.0,-1.4372e-06,0.0037388,-1.2712e-05,4.1052e-06,1.1416e-05,-3.8623e-07,-3.6477e-07,1.06e-07,0.014175,1.3967e-05,-2.1009e-05,5.5032e-06,0.0,0.0,0.0023252,-4.8838e-06,6.1921e-06,1.49e-07,3.0024e-08,-0.00032196,1.6913e-07,1.5904e-06,5.3811e-07,0.00034589,5.9323e-07,1.9463e-06,230.93,0.0,0.0,0.00031626,-4.717e-05,0.00018278,5.7824326679366976e-05,1.846880324439718e-06,0.040814051382847,0.085230249304042,0.1925072817596259,0.1428417525673797,0.0007442679776054,0.0395373418958148,0.0004076363737574,9.347637775727688e-07,2.542675055347312e-07,2.4009444217716333e-06,0.4978541575562188,35.9005743020772,0.26360666082488443,0.20267489728396934,0.26360666082488443,0.2629506748945474
3,3,3,3,3,3,3,3,3,3,3,3.0,-80.0,-60.0,-90.0,-45.0,21.692,1.554e-06,0.063503,0.27253,0.45109,0.15816,0.0024823,0.044953,252.53,0.48212,0.13062,5.9512e-06,0.0,0.0,-1.7012e-06,0.0,0.0,-0.019817,2.9967e-08,-2.5387e-06,1.4521e-05,0.0,-4.581e-06,0.0,-1.3168e-06,0.0036565,-1.2266e-05,3.4071e-06,1.0892e-05,-4.0419e-07,-3.2318e-07,1.2767e-07,0.013297,1.3212e-05,-1.9466e-05,5.1358e-06,0.0,0.0,0.0021499,-4.411e-06,6.0471e-06,1.2274000000000005e-07,2.1523e-08,-0.00028355,1.7841e-07,1.3784e-06,4.5168e-07,0.00028457,6.3126e-07,1.7587e-06,217.56,0.0,0.0,0.00029693,-4.2754e-05,0.00017248,6.152228848229828e-05,1.376953643401044e-06,0.0334896937632166,0.0861638054557075,0.1852316614781294,0.1389110849776427,0.0013070223721282,0.030692938598237,0.0002217957529679,4.234434262103003e-07,1.1472284977098949e-07,1.7900397364213571e-06,0.5239167701538323,32.53011753347323,0.29109997827272915,0.21214758538579312,0.29109997827272915,0.29143419622357203
4,4,4,4,4,4,4,4,4,4,4,4.0,-80.0,-60.0,-45.0,0.0,21.661,1.5517e-06,0.06606,0.2822,0.44403,0.16435,0.0013358,0.04484,240.79,0.55625,0.15086,6.6052e-06,0.0,0.0,-1.887e-06,0.0,0.0,-0.021972,4.3699e-08,-2.8076e-06,1.612e-05,0.0,-5.081e-06,0.0,-1.4625e-06,0.0040523,-1.3607e-05,3.8001e-06,1.2082e-05,-4.4265e-07,-3.5785e-07,1.4075e-07,0.014728,1.4656e-05,-2.1555e-05,5.6909e-06,0.0,0.0,0.0023889,-4.8884e-06,6.6734e-06,1.3571e-07,2.3902e-08,-0.0003129,1.9646e-07,1.5241e-06,5.024e-07,0.0003163,6.9838e-07,1.9523e-06,240.63,0.0,0.0,0.00032896,-4.7425e-05,0.00019083,4.4463150956918106e-05,1.6186820208190216e-06,0.0348509410216948,0.0892537702971724,0.1823993734613065,0.1444005879973176,0.0007036054575053,0.030626995897825,0.000211562017547,4.88730313802908e-07,1.3254805418482101e-07,2.104286627064728e-06,0.5175043564516583,32.82916353717611,0.28447183096651474,0.20812006826120966,0.28447183096651474,0.2835598876652289
5,5,5,5,5,5,5,5,5,5,5,5.0,-80.0,-60.0,0.0,45.0,21.678,1.5703e-06,0.068243,0.27855,0.4388,0.1596,0.0020395,0.043242,229.65,0.45553,0.12336,6.4847e-06,0.0,0.0,-1.8468e-06,0.0,0.0,-0.021599,1.0519e-08,-2.7278e-06,1.58e-05,0.0,-4.9622e-06,0.0,-1.4245e-06,0.0040063,-1.3408e-05,3.6498e-06,1.1856e-05,-4.3825e-07,-3.4744e-07,1.4396e-07,0.014455,1.4392e-05,-2.1098e-05,5.5648e-06,0.0,0.0,0.0023416,-4.7541e-06,6.5768e-06,1.3042000000000005e-07,2.228e-08,-0.00030489,1.952e-07,1.4772e-06,4.8259e-07,0.00030458,6.9761e-07,1.895e-06,236.77,0.0,0.0,0.00032289,-4.6317e-05,0.00018744,5.108536443024124e-05,1.4297426380709192e-06,0.0364749971543029,0.0892552849286719,0.182616016171933,0.1420670481325407,0.0010883602868454,0.0299230449795128,0.0002044216641831,4.054874839336862e-07,1.0980821464680597e-07,1.858665429492195e-06,0.5183159376138133,32.5281273462395,0.28904531264126454,0.21266445135017023,0.28904531264126454,0.28948751474359635
6,6,6,6,6,6,6,6,6,6,6,6.0,-80.0,-60.0,45.0,90.0,21.794,1.5384e-06,0.069858,0.26802,0.44436,0.15854,0.0032079,0.048803,233.0,0.6102,0.16558,6.2134e-06,0.0,0.0,-1.7872e-06,0.0,0.0,-0.020729,6.8721e-08,-2.6778e-06,1.5188e-05,0.0,-4.8166e-06,0.0,-1.3861e-06,0.0038057,-1.2826e-05,3.6516e-06,1.1379e-05,-4.191e-07,-3.4228e-07,1.2693e-07,0.013936,1.3864e-05,-2.0504e-05,5.3996e-06,0.0,0.0,0.0022626,-4.6696e-06,6.3295e-06,1.3194e-07,2.3719e-08,-0.00030116,1.8381e-07,1.4702e-06,4.8428e-07,0.00030695,6.4812e-07,1.8653e-06,228.14,0.0,0.0,0.00031267,-4.5323e-05,0.00018135,6.275912523893149e-05,1.0889594660526863e-06,0.037495953081502,0.0862440363086677,0.1857112855933396,0.1417197627413922,0.0017190990142289,0.0339138914317044,0.0002082799591191,5.45461077487054e-07,1.480128567851629e-07,1.4156473058684923e-06,0.5129217346641006,33.55672354714609,0.28261969882894655,0.20994107302086787,0.28261969882894655,0.28347303990509787
7,7,7,7,7,7,7,7,7,7,7,7.0,-80.0,-60.0,90.0,135.0,21.76,1.4952e-06,0.074855,0.27428,0.45074,0.15871,0.0021993,0.052625,337.96,0.66635,0.18091,6.0795e-06,0.0,0.0,-1.7593e-06,0.0,0.0,-0.020265,1.1508e-07,-2.6053e-06,1.488e-05,0.0,-4.7551e-06,0.0,-1.3756e-06,0.0036762,-1.2403e-05,3.7257e-06,1.1119e-05,-3.9597e-07,-3.4349e-07,1.1422000000000005e-07,0.013674,1.3505e-05,-2.0184e-05,5.315e-06,0.0,0.0,0.0022247,-4.6254e-06,6.1135e-06,1.3601e-07,2.5832e-08,-0.00030147,1.739e-07,1.4835e-06,4.959e-07,0.00031516,6.0701e-07,1.8553e-06,222.72,0.0,0.0,0.00030374,-4.4508e-05,0.0001766399999999,7.295736226718873e-05,7.655099050332669e-07,0.041566735691973,0.0913088488742857,0.1948885366688034,0.1467752099887806,0.0012193303953202,0.0378338093262448,0.0003125458381185,6.162413280576142e-07,1.673057982425197e-07,9.95162876543247e-07,0.4860194816342984,34.79747251164634,0.27520275613803835,0.21151402603767142,0.27520275613803835,0.2743360905325518
8,8,8,8,8,8,8,8,8,8,8,8.0,-80.0,-60.0,135.0,180.0,21.741,1.3358e-06,0.085362,0.2561,0.45343,0.16307,0.001458,0.065614,661.45,1.5306,0.41686,6.7543e-06,0.0,0.0,-1.989e-06,0.0,0.0,-0.022474,4.2965e-07,-2.786e-06,1.651e-05,0.0,-5.3988e-06,0.0,-1.6037e-06,0.0038951,-1.3326e-05,4.9192e-06,1.2252e-05,-3.6554e-07,-4.2259e-07,8.501399999999998e-08,0.015372,1.4957e-05,-2.2924e-05,5.9894e-06,0.0,0.0,0.0025477,-5.4646e-06,6.3445e-06,1.8669e-07,4.2176e-08,-0.00037166,1.5358e-07,1.8601e-06,6.5317e-07,0.00042146,5.4777e-07,2.1681e-06,246.74,0.0,0.0,0.00033832,-5.2066e-05,0.00019422,5.832739765422885e-05,2.7852643872068814e-06,0.0480432479932227,0.0864113875140744,0.1987069779279348,0.1528499015274035,0.0008192889983366,0.047810925379347,0.0006199948940044,1.434672590162776e-06,3.907341016171795e-07,3.620843703368946e-06,0.4646717168532395,40.80780343108517,0.23037441838440115,0.18536861796620097,0.23037441838440115,0.2281409532844186
9,9,9,9,9,9,9,9,9,9,9,9.0,-60.0,-40.0,-180.0,-150.0,22.019,1.1495e-06,0.081607,0.19624,0.46531,0.14717,0.0080758,0.098434,691.33,1.4921,0.40633,1.0434e-05,0.0,0.0,-3.143e-06,0.0,0.0,-0.034935,1.5787e-06,-4.8405e-06,2.6227e-05,0.0,-8.8763e-06,0.0,-2.7251e-06,0.0056528,-2.0059e-05,9.2586e-06,1.9305e-05,-5.594e-07,-7.8923e-07,-8.6624e-09,0.024598,2.3956e-05,-3.7974e-05,9.8015e-06,0.0,0.0,0.0039653,-9.7658e-06,9.6824e-06,4.0644e-07,1.0591e-07,-0.00069535,9.0186e-08,3.5647e-06,1.3296e-06,0.0008395399999999,3.9697e-07,3.8655e-06,390.57,0.0,0.0,0.00054162,-8.869099999999998e-05,0.0003093,6.027228544371397e-05,2.0993406167070865e-06,0.0466484251423015,0.0672497587220939,0.2071033142167793,0.1401045298357142,0.0046090025576852,0.0728479884263466,0.0006581400055128,1.4204659167484491e-06,3.868225426931154e-07,2.7291428017192127e-06,0.4607119330362447,48.00899939530259,0.1996254157890756,0.16808822708990176,0.1996254157890756,0.19778955274606574
